Transaction Date,Card Number,Terminal ID,Transaction Net Amount
01/01 17:07,'1234567887654321','TM000001',100.00
01/01 18:22,'1234567887654321','TM000001',443.50
01/01 21:29,'1234567887654321','TM000001',0.00
01/01 21:30,'1234567887654321','TM000001',200.00
01/01 07:34,'1234567887654321','TM000001',63.50
01/01 08:03,'1234567887654321','TM000001',80.00
01/01 10:28,'1234567887654321','TM000001',200.00
01/01 10:29,'1234567887654321','TM000001',200.00
01/01 12:57,'1234567887654321','TM000001',200.00
01/01 13:13,'1234567887654321','TM000001',60.00
01/01 13:25,'1234567887654321','TM000001',600.00
01/01 14:56,'1234567887654321','TM000001',100.00
01/01 15:35,'1234567887654321','TM000001',60.00
01/01 16:04,'1234567887654321','TM000002',300.00
01/01 16:14,'1234567887654321','TM000002',480.00
01/01 16:19,'1234567887654321','TM000002',100.00
01/01 16:29,'1234567887654321','TM000002',60.00
01/01 16:38,'1234567887654321','TM000002',200.00
01/01 16:43,'1234567887654321','TM000002',100.00
01/01 16:50,'1234567887654321','TM000002',400.00
01/01 17:06,'1234567887654321','TM000002',60.00
01/01 17:08,'1234567887654321','TM000002',60.00
01/01 17:09,'1234567887654321','TM000002',0.00
01/01 17:10,'1234567887654321','TM000002',140.00
01/01 17:11,'1234567887654321','TM000002',0.00
01/01 17:12,'1234567887654321','TM000002',80.00
01/01 17:22,'1234567887654321','TM000002',300.00
01/01 17:23,'1234567887654321','TM000002',203.50
01/01 17:32,'1234567887654321','TM000002',100.00
01/01 18:22,'1234567887654321','TM000002',60.00
01/01 19:05,'1234567887654321','TM000002',60.00
01/01 19:28,'1234567887654321','TM000002',0.00
01/01 19:31,'1234567887654321','TM000002',800.00
01/01 19:35,'1234567887654321','TM000002',100.00
01/01 20:35,'1234567887654321','TM000002',200.00
01/01 20:50,'1234567887654321','TM000002',200.00
01/01 21:30,'1234567887654321','TM000002',43.50
01/01 21:32,'1234567887654321','TM000002',60.00
01/01 21:34,'1234567887654321','TM000002',100.00
